
2024/03/13 (21:34:51) | ===> btop++ v.1.3.2
2024/03/13 (21:34:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/13 (21:37:17) | ===> btop++ v.1.3.2
2024/03/13 (21:37:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/14 (13:37:29) | ===> btop++ v.1.3.2
2024/03/14 (13:37:29) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/15 (13:32:04) | ===> btop++ v.1.3.2
2024/03/15 (13:32:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/15 (22:20:06) | ===> btop++ v.1.3.2
2024/03/15 (22:20:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/15 (22:20:35) | ===> btop++ v.1.3.2
2024/03/15 (22:20:35) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/16 (14:04:34) | ===> btop++ v.1.3.2
2024/03/16 (14:04:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/16 (18:45:05) | ===> btop++ v.1.3.2
2024/03/16 (18:45:05) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/16 (18:46:16) | ===> btop++ v.1.3.2
2024/03/16 (18:46:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/16 (18:57:27) | ===> btop++ v.1.3.2
2024/03/16 (18:57:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/16 (18:57:46) | ===> btop++ v.1.3.2
2024/03/16 (18:57:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/16 (21:02:34) | ===> btop++ v.1.3.2
2024/03/16 (21:02:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/17 (15:42:55) | ===> btop++ v.1.3.2
2024/03/17 (15:42:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/17 (15:43:20) | ===> btop++ v.1.3.2
2024/03/17 (15:43:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/18 (15:26:06) | ===> btop++ v.1.3.2
2024/03/18 (15:26:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/18 (19:37:51) | ===> btop++ v.1.3.2
2024/03/18 (19:37:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/19 (18:37:52) | ===> btop++ v.1.3.2
2024/03/19 (18:37:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/23 (22:55:04) | ===> btop++ v.1.3.2
2024/03/23 (22:55:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/26 (22:49:59) | ===> btop++ v.1.3.2
2024/03/26 (22:49:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/26 (22:50:37) | ===> btop++ v.1.3.2
2024/03/26 (22:50:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/27 (21:58:46) | ===> btop++ v.1.3.2
2024/03/27 (21:58:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/27 (22:17:14) | ===> btop++ v.1.3.2
2024/03/27 (22:17:14) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/28 (20:44:44) | ===> btop++ v.1.3.2
2024/03/28 (20:44:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/30 (09:45:26) | ===> btop++ v.1.3.2
2024/03/30 (09:45:26) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/30 (20:45:23) | ===> btop++ v.1.3.2
2024/03/30 (20:45:23) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/30 (20:48:08) | ===> btop++ v.1.3.2
2024/03/30 (20:48:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/30 (20:48:23) | ===> btop++ v.1.3.2
2024/03/30 (20:48:23) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/03/31 (17:25:25) | ===> btop++ v.1.3.2
2024/03/31 (17:25:25) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/04/19 (16:56:36) | ===> btop++ v.1.3.2
2024/04/19 (16:56:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/08/23 (20:18:45) | ===> btop++ v.1.3.2
2024/08/23 (20:18:45) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/09/11 (21:57:22) | ===> btop++ v.1.3.2
2024/09/11 (21:57:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/09/11 (22:02:50) | ===> btop++ v.1.3.2
2024/09/11 (22:02:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/09/13 (08:49:47) | ===> btop++ v.1.3.2
2024/09/13 (08:49:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/09/18 (12:05:10) | ===> btop++ v.1.3.2
2024/09/18 (12:05:10) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.
